userID,itemID
e_e000009,힐튼 가든인 서울 강남점
e_e000009,백학 자유로 리조트
e_e000009,무의도 세렝게티
e_e000009,미다스 호텔 리조트
e_e000009,미리내리조트 힐 빅클럽
e_e000020,힐튼 가든인 서울 강남점
e_e000020,백학 자유로 리조트
e_e000020,무아레 도그 라운드
e_e000020,무의도 세렝게티
e_e000020,미다스 호텔 리조트
e_e000021,힐튼 가든인 서울 강남점
e_e000021,백학 자유로 리조트
e_e000021,무의도 세렝게티
e_e000021,미다스 호텔 리조트
e_e000021,미리내리조트 힐 빅클럽
e_e000038,힐튼 가든인 서울 강남점
e_e000038,백학 자유로 리조트
e_e000038,무의도 세렝게티
e_e000038,미다스 호텔 리조트
e_e000038,미리내리조트 힐 빅클럽
e_e000294,힐튼 가든인 서울 강남점
e_e000294,반디 호텔
e_e000294,무의도 세렝게티
e_e000294,미다스 호텔 리조트
e_e000294,미리내리조트 힐 빅클럽
e_e000296,힐튼 가든인 서울 강남점
e_e000296,무의도 세렝게티
e_e000296,미다스 호텔 리조트
e_e000296,미리내리조트 힐 빅클럽
e_e000296,미즈 호텔
e_e000299,힐튼 가든인 서울 강남점
e_e000299,백학 자유로 리조트
e_e000299,무의도 세렝게티
e_e000299,미다스 호텔 리조트
e_e000299,미리내리조트 힐 빅클럽
e_e000301,힐튼 가든인 서울 강남점
e_e000301,반디 호텔
e_e000301,무아레 도그 라운드
e_e000301,무의도 세렝게티
e_e000301,미다스 호텔 리조트
e_e000317,힐튼 가든인 서울 강남점
e_e000317,백학 자유로 리조트
e_e000317,무아레 도그 라운드
e_e000317,무의도 세렝게티
e_e000317,미다스 호텔 리조트
e_e000323,힐튼 가든인 서울 강남점
e_e000323,백학 자유로 리조트
e_e000323,무의도 세렝게티
e_e000323,미다스 호텔 리조트
e_e000323,미리내리조트 힐 빅클럽
e_e000331,힐튼 가든인 서울 강남점
e_e000331,무의도 세렝게티
e_e000331,미다스 호텔 리조트
e_e000331,미리내리조트 힐 빅클럽
e_e000331,미즈 호텔
e_e000332,힐튼 가든인 서울 강남점
e_e000332,무아레 도그 라운드
